Timestamp,X,Y
1744031732155,0.690,0.306
1744031732175,0.690,0.306
1744031732194,0.690,0.306
1744031732223,0.692,0.324
1744031732240,0.692,0.324
1744031732257,0.692,0.324
1744031732273,0.692,0.324
1744031732290,0.697,0.351
1744031732306,0.697,0.351
1744031732323,0.697,0.351
1744031732340,0.697,0.351
1744031732356,0.704,0.376
1744031732373,0.704,0.376
1744031732389,0.704,0.376
1744031732406,0.704,0.376
1744031732423,0.714,0.400
1744031732440,0.714,0.400
1744031732474,0.714,0.400
1744031732490,0.715,0.418
1744031732509,0.715,0.418
1744031732525,0.715,0.418
1744031732542,0.715,0.418
1744031732573,0.708,0.422
1744031732590,0.708,0.422
1744031732608,0.708,0.422
1744031732640,0.695,0.410
1744031732659,0.695,0.410
1744031732690,0.680,0.394
1744031732708,0.680,0.394
1744031732740,0.680,0.394
1744031732757,0.654,0.389
1744031732775,0.654,0.389
1744031732793,0.654,0.389
1744031732824,0.630,0.393
1744031732842,0.630,0.393
1744031732874,0.630,0.393
1744031732890,0.612,0.403
1744031732908,0.612,0.403
1744031732940,0.612,0.403
1744031732959,0.598,0.415
1744031732985,0.598,0.415
1744031733008,0.598,0.415
1744031733040,0.591,0.428
1744031733071,0.591,0.428
1744031733102,0.584,0.441
1744031733133,0.584,0.441
1744031733165,0.581,0.455
1744031733196,0.581,0.455
1744031733227,0.581,0.471
1744031733258,0.581,0.471
1744031733290,0.585,0.485
1744031733321,0.585,0.485
1744031733352,0.598,0.502
1744031733383,0.598,0.502
1744031733415,0.598,0.502
1744031733446,0.614,0.524
1744031733477,0.614,0.524
1744031733508,0.630,0.545
1744031733540,0.630,0.545
1744031733571,0.643,0.564
1744031733602,0.643,0.564
1744031733633,0.648,0.580
1744031733664,0.648,0.580
1744031733696,0.643,0.595
1744031733727,0.643,0.595
1744031734555,0.549,0.631
1744031734586,0.549,0.631
1744031734618,0.549,0.631
1744031734649,0.560,0.649
1744031734680,0.560,0.649
1744031734711,0.578,0.671
1744031734743,0.578,0.671
1744031734774,0.597,0.696
1744031734805,0.597,0.696
1744031734836,0.619,0.715
1744031734868,0.619,0.715
1744031734899,0.635,0.731
1744031734930,0.635,0.731
1744031734961,0.642,0.740
1744031734993,0.642,0.740
1744031735086,0.628,0.747
1744031735118,0.628,0.747
1744031735149,0.628,0.747
1744031735696,0.516,0.783
1744031735727,0.516,0.783
1744031735742,0.516,0.783
1744031735758,0.514,0.797
1744031735774,0.514,0.797
1744031735789,0.514,0.797
1744031735805,0.514,0.797
1744031735821,0.514,0.797
1744031735836,0.522,0.823
1744031735852,0.522,0.823
1744031735868,0.522,0.823
1744031735899,0.541,0.851
1744031735930,0.541,0.851
1744031735961,0.567,0.877
1744031735992,0.567,0.877
1744031736024,0.594,0.899
1744031736055,0.594,0.899
1744031736086,0.594,0.899
1744031736117,0.610,0.919
1744031736133,0.610,0.919
1744031736164,0.615,0.935
1744031736196,0.615,0.935
1744031736227,0.607,0.950
1744031736258,0.607,0.950
1744031736289,0.594,0.959
1744031736321,0.594,0.959
