Timestamp,X,Y
1744032431110,0.586,0.904
1744032431142,0.586,0.904
1744032431157,0.586,0.904
1744032431173,0.580,0.911
1744032431188,0.580,0.911
1744032431204,0.580,0.911
1744032431220,0.580,0.911
1744032431235,0.576,0.917
1744032431251,0.576,0.917
1744032431267,0.576,0.917
1744032431282,0.576,0.917
1744032431298,0.594,0.919
1744032431313,0.594,0.919
1744032431329,0.594,0.919
1744032431345,0.594,0.919
1744032431360,0.594,0.919
1744032431376,0.608,0.914
1744032431392,0.608,0.914
1744032431407,0.608,0.914
1744032431423,0.608,0.914
1744032431438,0.614,0.915
1744032431454,0.614,0.915
1744032431470,0.614,0.915
1744032431485,0.614,0.915
1744032431501,0.619,0.920
1744032431516,0.619,0.920
1744032431532,0.619,0.920
1744032431548,0.619,0.920
1744032431563,0.619,0.920
1744032431579,0.623,0.919
1744032431595,0.623,0.919
1744032431610,0.623,0.919
1744032431626,0.623,0.919
1744032431642,0.626,0.921
1744032431657,0.626,0.921
1744032431673,0.626,0.921
1744032431688,0.626,0.921
1744032431704,0.628,0.927
1744032431723,0.628,0.927
1744032431739,0.628,0.927
1744032431761,0.628,0.927
1744032431777,0.627,0.932
1744032431794,0.627,0.932
1744032431811,0.627,0.932
1744032431828,0.627,0.932
1744032431844,0.624,0.936
1744032431863,0.624,0.936
1744032431883,0.624,0.936
1744032431910,0.622,0.940
1744032431927,0.622,0.940
1744032431942,0.622,0.940
1744032431958,0.622,0.940
1744032431974,0.619,0.942
1744032431989,0.619,0.942
1744032432005,0.619,0.942
1744032432020,0.619,0.942
1744032432036,0.616,0.945
1744032432067,0.616,0.945
1744032432099,0.614,0.950
1744032432130,0.614,0.950
1744032432161,0.614,0.950
1744032432177,0.610,0.955
1744032432192,0.610,0.955
1744032432208,0.610,0.955
1744032432224,0.610,0.955
1744032432450,0.608,0.958
1744032432465,0.608,0.958
1744032432481,0.608,0.958
1744032432497,0.608,0.958
1744032432512,0.608,0.965
1744032432528,0.608,0.965
1744032432543,0.608,0.965
1744032432559,0.608,0.965
1744032432575,0.610,0.988
1744032432590,0.610,0.988
1744032432606,0.610,0.988
1744032432622,0.610,0.988
1744032432637,0.609,1.008
1744032432653,0.609,1.008
1744032432668,0.609,1.008
1744032432684,0.609,1.008
1744032432700,0.602,1.021
1744032432715,0.602,1.021
1744032432731,0.602,1.021
1744032432747,0.602,1.021
1744032432762,0.594,1.029
1744032432778,0.594,1.029
1744032432793,0.594,1.029
1744032432809,0.594,1.029
1744032432825,0.594,1.029
1744032432840,0.595,1.031
1744032432856,0.595,1.031
1744032432872,0.595,1.031
1744032432887,0.595,1.031
1744032432903,0.610,1.027
1744032432918,0.610,1.027
1744032432934,0.610,1.027
1744032432950,0.610,1.027
1744032432965,0.631,1.012
1744032432981,0.631,1.012
1744032432996,0.631,1.012
1744032433011,0.631,1.012
1744032433029,0.631,1.012
1744032433045,0.649,0.993
1744032433061,0.649,0.993
1744032433077,0.649,0.993
1744032433094,0.649,0.993
1744032433111,0.660,0.972
1744032433128,0.660,0.972
1744032433159,0.660,0.972
1744032433174,0.666,0.957
1744032433190,0.666,0.957
1744032433206,0.666,0.957
1744032433221,0.666,0.957
1744032433237,0.666,0.957
1744032433253,0.668,0.946
1744032433268,0.668,0.946
1744032433284,0.668,0.946
1744032433299,0.668,0.936
1744032433315,0.668,0.936
1744032433331,0.668,0.936
1744032433362,0.670,0.927
1744032433393,0.670,0.927
1744032433424,0.670,0.927
1744032433456,0.676,0.925
1744032433487,0.676,0.925
1744032433518,0.690,0.925
1744032433549,0.690,0.925
1744032433581,0.714,0.932
1744032433612,0.714,0.932
1744032433643,0.743,0.952
1744032433674,0.743,0.952
1744032433706,0.767,0.978
1744032433737,0.767,0.978
1744032433768,0.783,1.005
1744032433799,0.783,1.005
1744032433831,0.783,1.005
1744032433862,0.794,1.027
1744032433893,0.794,1.027
1744032433924,0.802,1.048
